MemTotal:       20522460 kB
MemFree:         4648876 kB
MemAvailable:   11868952 kB
Buffers:             124 kB
Cached:         10196968 kB
SwapCached:         4160 kB
Active:          2740204 kB
Inactive:        7936608 kB
Active(anon):    2644900 kB
Inactive(anon):  3234028 kB
Active(file):      95304 kB
Inactive(file):  4702580 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:      21571028 kB
SwapFree:       21229024 kB
Dirty:             36264 kB
Writeback:             0 kB
AnonPages:        465976 kB
Mapped:          1471964 kB
Shmem:           5399156 kB
KReclaimable:    2711760 kB
Slab:            3543392 kB
SReclaimable:    2711760 kB
SUnreclaim:       831632 kB
KernelStack:       13584 kB
PageTables:        42552 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31832256 kB
Committed_AS:   14072084 kB
VmallocTotal:   135288315904 kB
VmallocUsed:      103156 kB
VmallocChunk:          0 kB
Percpu:             2796 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Balloon:               0 kB
