MemTotal:       20522460 kB
MemFree:        10369812 kB
MemAvailable:   12977876 kB
Buffers:             104 kB
Cached:          5586948 kB
SwapCached:         4160 kB
Active:          2653220 kB
Inactive:        3393964 kB
Active(anon):    2561888 kB
Inactive(anon):  3297856 kB
Active(file):      91332 kB
Inactive(file):    96108 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:      21571028 kB
SwapFree:       21229396 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        447140 kB
Mapped:          1454940 kB
Shmem:           5399592 kB
KReclaimable:    2710192 kB
Slab:            3536256 kB
SReclaimable:    2710192 kB
SUnreclaim:       826064 kB
KernelStack:       13488 kB
PageTables:        39164 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31832256 kB
Committed_AS:   14070212 kB
VmallocTotal:   135288315904 kB
VmallocUsed:      103156 kB
VmallocChunk:          0 kB
Percpu:             2796 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Balloon:               0 kB
Filesystem           1024-blocks    Used Available Capacity Mounted on
overlay              1034158080 571073936 463084144  55% /
