MemTotal:       20522460 kB
MemFree:         9284448 kB
MemAvailable:   11657756 kB
Buffers:             104 kB
Cached:          5751460 kB
SwapCached:        14232 kB
Active:          2895772 kB
Inactive:        3505596 kB
Active(anon):    2815960 kB
Inactive(anon):  3399572 kB
Active(file):      79812 kB
Inactive(file):   106024 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:      21571028 kB
SwapFree:       19643684 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        625416 kB
Mapped:          1714664 kB
Shmem:           5565296 kB
KReclaimable:    2477040 kB
Slab:            3334208 kB
SReclaimable:    2477040 kB
SUnreclaim:       857168 kB
KernelStack:       21680 kB
PageTables:        68208 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31832256 kB
Committed_AS:   22075772 kB
VmallocTotal:   135288315904 kB
VmallocUsed:      103612 kB
VmallocChunk:          0 kB
Percpu:             4104 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Balloon:               0 kB
